"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,0,0,9,8,4,0,17,7,0,0,11,6,10,15
"ASV_869",3,6,7,0,3,5,2,2,2,5,10,0,5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0
"ASV_870",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,19,18,0,0,25,22
"ASV_874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,5,9,2,7,6,3,17,2,3,16,0,9,0,12
"ASV_875",0,28,0,0,0,0,0,0,0,0,42,0,8,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,70,17,0,15,0,0,14,0
"ASV_877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,13,0,16,14,0,17,11,8,24,12
"ASV_879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV_882",15,7,4,6,0,0,11,0,11,0,10,3,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,11,0,22,12,0,0,0,4,0,0,23,4,0,7
"ASV_885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,8,5,9,7,9,2,7,15,3,3,5,4,0,13
"ASV_886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,6,0,0,0,3,0,9,7,7,11,6,14,14
"ASV_887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0
"ASV_888",0,0,0,0,34,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
"ASV_889",2,5,0,0,6,5,3,2,3,2,0,3,0,0,0,0,3,0,0,7,0,3,0,10,10,0,0,0,0,0,0,0,0,0,4
"ASV_890",0,9,0,15,7,0,25,0,0,3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,7,16,0,3,0
"ASV_891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,5,0,0,0,0,0,0,0,7,0,0,0
"ASV_894",0,11,0,44,0,0,9,0,8,0,0,11,0,17,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_895",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,3,5,4,15,6,3,4,6,6,0,0,17,14,2,5
"ASV_896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,5,0,10,7,3,0,3,25,15,7,5,15,0
"ASV_898",19,0,11,6,0,0,25,9,8,0,0,0,0,0,0,0,10,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"ASV_899",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,26,6,5,20,0,0,0,0,0,0,19,0,0,0,18,9,0
"ASV_901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_903",0,30,27,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,17,0,0,0,28,0,0,21,0,0,13
"ASV_906",5,0,0,0,5,0,0,0,0,0,0,0,0,41,0,11,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,4,0,0,4
"ASV_908",0,14,6,5,6,0,0,5,13,0,5,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_913",2,0,0,0,0,0,10,3,2,0,3,0,0,0,0,0,0,0,0,4,0,0,5,0,18,2,0,17,9,6,8,0,0,0,2
"ASV_914",0,0,0,7,6,0,0,7,10,15,0,9,0,8,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_915",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,20,0,0,0,16,0,19,11,10,0,0,3,0,5
"ASV_916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,23,0,0,0,0,4,0,27,5
"ASV_917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,0,12,10,10,12,0,0,0,0,0,0,0,0,0
"ASV_918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,0,10,0,0,0,0,23,0,0,18,16,0,0
"ASV_919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0
"ASV_920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,6,9,0,7,9,0,6,6,9,0,5,0,9
"ASV_921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,8,0,7,0,14,12,27,13
"ASV_923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"ASV_925",0,0,71,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,7,2,5,3,2,7,1,3,3,11,6,10,8,8
"ASV_929",0,0,6,2,0,0,2,2,0,3,17,2,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,59,0,0,0,0,0,0,16,0,0,0,0
"ASV_931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,23,0,0,1,0,25,0,10,0,7,20,0,13
"ASV_932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,43,0,53
"ASV_934",1,8,0,2,5,0,0,0,6,0,0,0,0,9,0,3,4,9,7,0,12,4,0,0,0,4,17,0,0,0,8,0,0,0,0
"ASV_935",0,0,0,0,0,0,39,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_936",0,0,0,0,0,0,9,0,0,4,0,0,3,0,0,0,0,0,0,36,0,0,0,0,11,6,0,0,11,0,0,0,0,0,0
