"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_5418","Bacteria","Latescibacterota",NA,NA,NA,NA
"ASV_5419","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculum"
"ASV_5420","Bacteria","Actinobacteriota","WCHB1-81",NA,NA,NA
"ASV_5421","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV_5422","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA
"ASV_5423","Bacteria","Acidobacteriota","Subgroup 21",NA,NA,NA
"ASV_5424","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7"
"ASV_5425","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_5426","Bacteria","Desulfobacterota",NA,NA,NA,NA
"ASV_5427","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus Omnitrophus"
"ASV_5428","Bacteria","Dependentiae","Babeliae","Babeliales",NA,NA
"ASV_5429","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_5430","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM1"
"ASV_5431","Bacteria","NB1-j",NA,NA,NA,NA
"ASV_5432","Bacteria","Myxococcota","Polyangia","mle1-27",NA,NA
"ASV_5433","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax"
"ASV_5434","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
"ASV_5435","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_5436","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum",NA,NA
"ASV_5437","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_5438","Bacteria","Actinobacteriota","Coriobacteriia","OPB41",NA,NA
"ASV_5439","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium"
"ASV_5440","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA
"ASV_5441","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA
"ASV_5442","Bacteria","Chloroflexi","Dehalococcoidia","GIF3",NA,NA
"ASV_5443","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 3"
"ASV_5444","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas"
"ASV_5445","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Hypnocyclicus"
"ASV_5446","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_5447","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"ASV_5448","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_5449","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_5450","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Desulfovirga"
"ASV_5451","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_5452","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA
"ASV_5453","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_5454","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_5455","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA
"ASV_5456","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina"
"ASV_5457","Bacteria",NA,NA,NA,NA,NA
"ASV_5458","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"ASV_5459","Bacteria",NA,NA,NA,NA,NA
"ASV_5460","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"ASV_5461","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfopila"
"ASV_5462","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_5463","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_5464","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_5465","Bacteria","Actinobacteriota","Coriobacteriia","OPB41",NA,NA
"ASV_5466","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Paludibacterium"
"ASV_5467","Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"ASV_5468","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Sedimentibacteraceae","Sedimentibacter"
"ASV_5469","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_5470","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfurisporaceae","Desulfurispora"
"ASV_5471","Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"ASV_5472","Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"ASV_5473","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter"
"ASV_5474","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA
"ASV_5475","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_5476","Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae",NA
"ASV_5477","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group"
