name1,name2,D.ij.bMNTD,G.ij.bMNTD,Ds.ij.bMNTD,Gs.ij.bMNTD,C.ij.bMNTD,E.ij.bMNTD,ST.ij.bMNTD,MST.ij.bMNTD,bNTI.wt,RC.bMNTD.wt
K2,K1,0.000816246932508812,0.00151178687689779,0.000580615675579642,0.00107536962640037,0.99941938432442,0.9989246303736,0.999504958620394,0.53965467551575,-0.631528359670285,-0.737737737737738
K3,K1,0.000720285422773541,0.00137758959214284,0.000512355992650928,0.000979911935785267,0.999487644007349,0.999020088064215,0.999532204378976,0.522614631028827,-0.579351634804046,-0.787787787787788
K4,K1,0.00157289739774448,0.00605687004198226,0.00111883897977039,0.00430839437339712,0.99888116102023,0.995691605626603,0.996806872010311,0.25885893607942,-0.654822127116089,-1
K5,K1,0.00128054051351693,0.00241644069628714,0.000910878639479246,0.00171887120366942,0.999089121360521,0.998281128796331,0.99919127078164,0.529499815556954,-0.698996635626863,-0.85985985985986
K6,K1,0.00188667559962307,0.00501459080248131,0.0013420368080378,0.00356699659205973,0.998657963191962,0.99643300340794,0.997772050225374,0.375398961808531,-0.832284074088587,-0.995995995995996
s1_xgl_root_1,K1,0.0363213969362155,0.0326750196930558,0.0258362654488621,0.0232425113995229,0.974163734551138,0.976757488600477,0.899608012060684,0.897219126435201,0.109448753225031,0.605605605605606
s1_xgl_root_2,K1,0.0317124921876167,0.0242785640936473,0.0225578429057415,0.0172699146935961,0.977442157094259,0.982730085306404,0.765583605035235,0.761464110573478,0.354426187151762,0.791791791791792
s1_xgl_root_3,K1,0.0361788780493607,0.0287585289756173,0.025734888406599,0.0204566192714905,0.974265111593401,0.979543380728509,0.794898308797211,0.790614999562092,0.352095009414694,0.757757757757758
s1_xgl_soil_1,K1,0.045527185769258,0.0476355335285253,0.0323845599534578,0.0338842773917105,0.967615440046542,0.966115722608289,0.998450089388631,0.954258708443099,-0.0506107409453797,0.447447447447447
s1_xgl_soil_2,K1,0.0458413940412219,0.0459381568286026,0.0326080637007101,0.0326768933513079,0.96739193629929,0.967323106648692,0.999928850295299,0.997822629466763,-0.00243453829881236,0.503503503503503
s1_xgl_soil_3,K1,0.0481068209268025,0.0529388608715964,0.0342195152226226,0.037656659088329,0.965780484777377,0.962343340911671,0.996441071320158,0.905490057641743,-0.111218621804294,0.345345345345345
s2_xgl_root_1,K1,0.0326568686185107,0.0193989022135302,0.0232296001125217,0.0137988962232218,0.976770399887478,0.986201103776778,0.59402211645407,0.588341686101153,1.01768128243871,0.857857857857858
s2_xgl_root_2,K1,0.0335725212060698,0.0191709514830713,0.0238809253727439,0.0136367494976501,0.976119074627256,0.98636325050235,0.571031033546722,0.565100416875014,1.03118413317421,0.87987987987988
s2_xgl_root_3,K1,0.0338845579488859,0.0234981820977835,0.0241028844601478,0.016714810592505,0.975897115539852,0.983285189407495,0.693477605144796,0.688267047894917,0.376503374458831,0.813813813813814
s2_xgl_soil_1,K1,0.0416396581040568,0.0357796377097595,0.0296192699269118,0.0254508993461027,0.970380730073088,0.974549100653897,0.859268287466405,0.855592999430026,0.180960815494585,0.633633633633634
s2_xgl_soil_2,K1,0.0364100436457708,0.0270806529479768,0.0258993219420708,0.0192631065187588,0.974100678057929,0.980736893481241,0.743768758187753,0.73873600196407,0.553600652403513,0.767767767767768
s2_xgl_soil_3,K1,0.0465388789831047,0.0367244788420269,0.0331042011740764,0.0261229871059191,0.966895798825923,0.973877012894081,0.789113954707832,0.783457210202061,0.317266530990738,0.741741741741742
SK1,K1,0.00832750169865583,0.0158578382862555,0.00592354817162326,0.0112800540168738,0.994076451828377,0.988719945983126,0.994611575563028,0.522305085692713,-0.935436880608555,-0.96996996996997
SK2,K1,0.00836202158798339,0.0158843965149592,0.0059481029822628,0.0112989455107182,0.994051897017737,0.988701054489282,0.994617139663927,0.52359622134939,-0.958612716906564,-0.971971971971972
SK3,K1,0.0130785209288029,0.0225776564159735,0.00930306009398375,0.0160600189855218,0.990696939906016,0.983939981014478,0.993179590428351,0.575317465203663,-0.719973645914926,-0.85985985985986
SK4,K1,0.00809218165400324,0.0175296058471168,0.0057561594792291,0.0124692216732572,0.994243840520771,0.987530778326743,0.993248072635268,0.458512524545734,-1.02659111786657,-1
SK5,K1,0.00904283265929259,0.016112856107466,0.0064323799386188,0.0114614542018544,0.993567620061381,0.988538545798146,0.994938367392725,0.558377801094702,-0.921815836393432,-0.931931931931932
SK6,K1,0.0106297099846144,0.020526669564436,0.00756116317027127,0.0146011037124803,0.992438836829729,0.98539889628752,0.992906423770459,0.514175341177934,-0.800007811363518,-0.95995995995996
K3,K2,0.000773191715414292,0.00140801789867534,0.000549989485189281,0.00100155630717642,0.999450010514811,0.998998443692824,0.99954818468434,0.548886755120382,-0.507796372969224,-0.651651651651652
K4,K2,0.000858119582209582,0.00440695128723586,0.000610400677919066,0.00313476828760688,0.999389599322081,0.996865231712393,0.997474090573486,0.194227708472057,-0.80944678326609,-1
K5,K2,0.000649472248718771,0.00147433440601242,0.000461984913439178,0.001048728801401,0.999538015086561,0.998951271198599,0.999412984919927,0.440260361602941,-0.709685600819081,-0.975975975975976
K6,K2,0.000950202118863776,0.00356391140567576,0.000675901155898485,0.00253509415606911,0.999324098844101,0.997464905843931,0.998139549519199,0.266121742915504,-0.892779687864351,-1
s1_xgl_root_1,K2,0.0134969248693863,0.0353072394578247,0.00960068067539327,0.0251148713388099,0.990399319324607,0.97488512866119,0.984335418693546,0.376282637679803,-0.626299087361058,-0.98998998998999
s1_xgl_root_2,K2,0.0104209701129782,0.02917219756709,0.00741268158122822,0.0207508714875028,0.992587318418772,0.979249128512497,0.986562199960883,0.352422376707904,-0.685392681124219,-1
s1_xgl_root_3,K2,0.0139332880280971,0.0339013222213526,0.00991107607181356,0.0241148092821547,0.990088923928186,0.975885190717845,0.985654083318105,0.405099309970016,-0.729277451610133,-0.995995995995996
s1_xgl_soil_1,K2,0.0226290351277642,0.0480384551078244,0.0160965658738085,0.0341708850047417,0.983903434126191,0.965829114995258,0.981629986740533,0.462407448419384,-0.583648080928136,-0.943943943943944
s1_xgl_soil_2,K2,0.0230980870052488,0.0470115997105329,0.0164302135261073,0.0334404585657859,0.983569786473893,0.966559541434214,0.982705604346937,0.482830188496341,-0.554961254240759,-0.8998998998999
s1_xgl_soil_3,K2,0.0251949967493419,0.0531593921307428,0.0179217948346631,0.0378135281691378,0.982078205165337,0.962186471830862,0.979745265468827,0.464352164109769,-0.621833795978013,-0.961961961961962
s2_xgl_root_1,K2,0.0103777635588112,0.0229067716715546,0.00738194774121236,0.0162941264214609,0.992618052258788,0.983705873578539,0.991021542818037,0.448975848736693,-0.524620589125988,-0.953953953953954
