"","id","Df","SumOfSqs","R2","F","Pr"
"1","Compartment",2,5.82207333016682,0.457345116147899,22.5955885634602,9.99900009999e-05
"2","Geno",1,1.85678852047321,0.145857517313953,14.4124702932131,9.99900009999e-05
"3","Batch",1,1.0574967416335,0.0830702299166229,8.20833401645442,9.99900009999e-05
"4","Residual",31,3.9937944685149,0.313727136621525,NA,NA
"5","Total",35,12.7301530607884,1,NA,NA
