"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_373","ASV_373",0.166666666666667,4.23146091187983e-05,-4.3735096665657,"Retain","Discard","Discard","Both_Fail"
"ASV_374","ASV_374",0.333333333333333,8.67160336457443e-05,-4.06190059479509,"Retain","Discard","Discard","Both_Fail"
"ASV_376","ASV_376",0.166666666666667,4.93670439719313e-05,-4.30656287693509,"Retain","Discard","Discard","Both_Fail"
"ASV_377","ASV_377",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_378","ASV_378",0.166666666666667,0.000891583452211127,-3.04983800062258,"Retain","Discard","Discard","Both_Fail"
"ASV_379","ASV_379",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_380","ASV_380",1,0.00089870653203335,-3.04638210173238,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_381","ASV_381",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_382","ASV_382",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_383","ASV_383",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_384","ASV_384",1,0.00110726172843729,-2.95574971084576,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_385","ASV_385",0.333333333333333,5.40391656084521e-05,-4.26729136532067,"Retain","Discard","Discard","Both_Fail"
"ASV_386","ASV_386",0.333333333333333,0.000252092512589575,-3.59844005313086,"Retain","Discard","Discard","Both_Fail"
"ASV_387","ASV_387",0.833333333333333,0.000450043447288699,-3.34674555732043,"Retain","Discard","Discard","Both_Fail"
"ASV_388","ASV_388",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_389","ASV_389",1,0.000971393132847223,-3.01260497104735,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_391","ASV_391",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_392","ASV_392",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_393","ASV_393",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_394","ASV_394",1,0.00150321232766895,-2.82297967129454,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_396","ASV_396",0.166666666666667,6.34719136781974e-05,-4.19741840751002,"Retain","Discard","Discard","Both_Fail"
"ASV_398","ASV_398",1,0.00129331049188384,-2.88829719923092,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_400","ASV_400",1,0.000696541647847079,-3.1570529109853,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_401","ASV_401",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_402","ASV_402",1,0.000541322996205703,-3.26654352304176,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_405","ASV_405",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_406","ASV_406",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_407","ASV_407",1,0.00124816727203956,-2.90372720916017,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_409","ASV_409",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_411","ASV_411",1,0.00105255758106308,-2.97775413639118,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_413","ASV_413",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_414","ASV_414",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_415","ASV_415",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_416","ASV_416",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_418","ASV_418",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_421","ASV_421",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_426","ASV_426",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_428","ASV_428",0.333333333333333,5.16282290081269e-05,-4.28711277220611,"Retain","Discard","Discard","Both_Fail"
"ASV_429","ASV_429",0.666666666666667,0.000133659112468669,-3.87400142703127,"Retain","Discard","Discard","Both_Fail"
"ASV_433","ASV_433",0.166666666666667,2.11573045593991e-05,-4.67453966222968,"Retain","Discard","Discard","Both_Fail"
"ASV_434","ASV_434",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_436","ASV_436",0.166666666666667,5.91537076229411e-05,-4.22801802956992,"Retain","Discard","Discard","Both_Fail"
"ASV_440","ASV_440",0.5,0.000242100276643005,-3.61600471429861,"Retain","Discard","Discard","Both_Fail"
"ASV_444","ASV_444",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_445","ASV_445",1,0.000779376149733454,-3.10825288850694,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_448","ASV_448",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_449","ASV_449",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_450","ASV_450",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_451","ASV_451",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_456","ASV_456",1,0.000521177659699422,-3.28301420861027,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_457","ASV_457",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_459","ASV_459",0.166666666666667,4.38175612021786e-05,-4.35835179806493,"Retain","Discard","Discard","Both_Fail"
"ASV_460","ASV_460",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_461","ASV_461",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_463","ASV_463",0.5,0.000407355382136112,-3.39002654124956,"Retain","Discard","Discard","Both_Fail"
"ASV_464","ASV_464",0.833333333333333,0.000950837210872931,-3.02189383056128,"Retain","Discard","Discard","Both_Fail"
"ASV_465","ASV_465",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_466","ASV_466",0.833333333333333,0.000569194272505409,-3.24473947863661,"Retain","Discard","Discard","Both_Fail"
"ASV_467","ASV_467",0.5,0.000146209616367056,-3.8350240624137,"Retain","Discard","Discard","Both_Fail"
"ASV_468","ASV_468",1,0.000833338300825136,-3.07917865723021,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_470","ASV_470",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_471","ASV_471",0.333333333333333,7.11538304598221e-05,-4.14780171535783,"Retain","Discard","Discard","Both_Fail"
"ASV_472","ASV_472",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_473","ASV_473",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_476","ASV_476",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_480","ASV_480",0.5,0.000264096664717292,-3.5782370834732,"Retain","Discard","Discard","Both_Fail"
"ASV_481","ASV_481",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_482","ASV_482",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
