"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_1755","ASV_1755",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1758","ASV_1758",1,0.000598720993246824,-3.22277551370765,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_1761","ASV_1761",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1768","ASV_1768",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1769","ASV_1769",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1771","ASV_1771",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1773","ASV_1773",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1782","ASV_1782",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1784","ASV_1784",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1785","ASV_1785",1,0.000596676547551407,-3.22426103182102,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_1787","ASV_1787",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1793","ASV_1793",0.5,0.000189837476298438,-3.72161804826811,"Retain","Discard","Discard","Both_Fail"
"ASV_1795","ASV_1795",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1799","ASV_1799",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1804","ASV_1804",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1810","ASV_1810",0.666666666666667,0.000211348019710696,-3.67500181706963,"Retain","Discard","Discard","Both_Fail"
"ASV_1815","ASV_1815",0.166666666666667,4.1328291281797e-05,-4.38375255025246,"Retain","Discard","Discard","Both_Fail"
"ASV_1817","ASV_1817",0.333333333333333,4.55264558854272e-05,-4.34173615705644,"Retain","Discard","Discard","Both_Fail"
"ASV_1818","ASV_1818",0.166666666666667,0.000149077050695053,-3.82658920781204,"Retain","Discard","Discard","Both_Fail"
"ASV_1821","ASV_1821",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1831","ASV_1831",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1834","ASV_1834",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1837","ASV_1837",0.666666666666667,0.000234303947451311,-3.63022039453628,"Retain","Discard","Discard","Both_Fail"
"ASV_1838","ASV_1838",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1839","ASV_1839",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1840","ASV_1840",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1841","ASV_1841",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1842","ASV_1842",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1849","ASV_1849",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1851","ASV_1851",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1855","ASV_1855",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1857","ASV_1857",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1858","ASV_1858",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1864","ASV_1864",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1880","ASV_1880",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1885","ASV_1885",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1886","ASV_1886",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1892","ASV_1892",1,0.000432943919882213,-3.3635683550624,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_1894","ASV_1894",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1901","ASV_1901",0.166666666666667,1.32840936262919e-05,-4.87666807215536,"Retain","Discard","Discard","Both_Fail"
"ASV_1911","ASV_1911",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1932","ASV_1932",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1942","ASV_1942",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1949","ASV_1949",0.333333333333333,8.52194956290803e-05,-4.06946104049646,"Retain","Discard","Discard","Both_Fail"
"ASV_1950","ASV_1950",0.833333333333333,0.000383470683233679,-3.41626783274895,"Retain","Discard","Discard","Both_Fail"
"ASV_1955","ASV_1955",0.666666666666667,0.000361519893104737,-3.4418678000903,"Retain","Discard","Discard","Both_Fail"
"ASV_1957","ASV_1957",0.666666666666667,0.000326076945557347,-3.48667990579745,"Retain","Discard","Discard","Both_Fail"
"ASV_1964","ASV_1964",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1971","ASV_1971",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1977","ASV_1977",0.166666666666667,1.47601040292132e-05,-4.83091058159468,"Retain","Discard","Discard","Both_Fail"
"ASV_1982","ASV_1982",0.333333333333333,7.44365776319042e-05,-4.12821360262546,"Retain","Discard","Discard","Both_Fail"
"ASV_1989","ASV_1989",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1990","ASV_1990",0.833333333333333,0.000341480697929881,-3.4666338396236,"Retain","Discard","Discard","Both_Fail"
"ASV_1991","ASV_1991",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1995","ASV_1995",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_1999","ASV_1999",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2014","ASV_2014",0.166666666666667,3.6900260073033e-05,-4.43297057292264,"Retain","Discard","Discard","Both_Fail"
"ASV_2015","ASV_2015",0.166666666666667,1.47601040292132e-05,-4.83091058159468,"Retain","Discard","Discard","Both_Fail"
"ASV_2020","ASV_2020",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2028","ASV_2028",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2036","ASV_2036",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2044","ASV_2044",0.166666666666667,7.02839471464717e-05,-4.15314385651374,"Retain","Discard","Discard","Both_Fail"
"ASV_2052","ASV_2052",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2053","ASV_2053",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2062","ASV_2062",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2068","ASV_2068",0.666666666666667,0.000210953572839197,-3.67581311474189,"Retain","Discard","Discard","Both_Fail"
"ASV_2084","ASV_2084",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2085","ASV_2085",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2089","ASV_2089",0.166666666666667,2.50921768496624e-05,-4.60046166021641,"Retain","Discard","Discard","Both_Fail"
"ASV_2114","ASV_2114",0.333333333333333,5.27472667648112e-05,-4.27780003953196,"Retain","Discard","Discard","Both_Fail"
"ASV_2118","ASV_2118",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2121","ASV_2121",0.166666666666667,1.97624552874449e-05,-4.70415909964989,"Retain","Discard","Discard","Both_Fail"
"ASV_2124","ASV_2124",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2126","ASV_2126",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2131","ASV_2131",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2137","ASV_2137",0.666666666666667,0.000170932643352996,-3.76717499126228,"Retain","Discard","Discard","Both_Fail"
"ASV_2139","ASV_2139",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2140","ASV_2140",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2143","ASV_2143",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2144","ASV_2144",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2147","ASV_2147",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2159","ASV_2159",0.166666666666667,1.91881352379772e-05,-4.71696722928785,"Retain","Discard","Discard","Both_Fail"
"ASV_2161","ASV_2161",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2163","ASV_2163",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2168","ASV_2168",0.166666666666667,3.98522808788756e-05,-4.3995468174357,"Retain","Discard","Discard","Both_Fail"
