"","K1","K2","K3","K4","K5","K6","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","SK1","SK2","SK3","SK4","SK5","SK6","XF1_1","XF1_2","XF1_3","XF1","XF2_1","XF2_2","XF2_3","XF2","XF3","XF4","XF5","XF6"
"ASV_1695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,38,30,45,39,18
"ASV_1704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,13,62,36,15,20
"ASV_1718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,15,20,17,31,15,27,41,12
"ASV_1722",0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,29,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,13,0,0,42,59,56,0,0,10,0,0
"ASV_1729",20,14,8,6,2,10,0,0,0,0,0,0,0,0,7,0,0,0,2,29,15,0,3,5,0,0,0,7,0,0,0,25,0,0,0,0
"ASV_1730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,29,6,9,9,23,70,46,0,0
"ASV_1733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,6,39,55,50,17,10,0,10,0
"ASV_1736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,85,21,0,0,0,12,0,0,0,0,13,0,0,0,20,0,0,9,0
"ASV_1742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,28,18,0,21,27,25,25,0,18,15,0,0
"ASV_1744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,0,25,0,0,0,49,6,27,0,15
"ASV_1748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,18,91,14,12,28,14
"ASV_1750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,27,0,9,14,77,36,25,0,0
"ASV_1752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,44,27,5,19,6,14,8,22,19,28,0,8
"ASV_1754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,4,21,16,20,27,15,20,6,0,10
"ASV_1755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,10,8,41,45,22,33,4
"ASV_1758",0,0,0,0,0,0,0,0,0,27,29,19,0,0,0,9,4,87,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"ASV_1761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,16,0,20,19,48,37,0,23,15,0,0
"ASV_1768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,0,19,0,0,15,0,43,29,40,0
"ASV_1769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44,13,16,0,22,18,24,20,0,0,0
"ASV_1771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,6,0,38,34,29,47,25
"ASV_1773",0,0,0,0,0,0,17,19,12,0,0,0,15,39,37,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0
"ASV_1782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13,0,0,36,26,20,40,23
"ASV_1784",0,30,9,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1785",0,0,0,0,0,0,3,0,0,24,36,12,0,0,0,12,7,94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,9,0,44,21,35,36,17
"ASV_1793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,78,0,0,0,0,0,0,21,0,0,0,26,0,43,0,8,0,0,0
"ASV_1795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,33,11,0,12,36,53,41,0,0
"ASV_1799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,19,56,18,15,47,14
"ASV_1804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,23,14,11,22,32,28,12,22,0
"ASV_1810",0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,8,0,75,0,0,0,0,0,0,0,0,0,20,6,9,14,0,33,13,0,0
"ASV_1815",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,10,0,11,24,30,42,0,0,0,0,0
"ASV_1817",0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,21,6,0,0,0,0,0,27,0,0,15,18,13,15,0,57,0,0,0
"ASV_1818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,9,0,0,0,0,0,11,0,0,0,0,9,13,16,0,11,8,0
"ASV_1821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,25,15,0,0,0,31,34,29,18
"ASV_1831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,32,51,46,9,10,0,0,0
"ASV_1834",0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,4,0,6,0,12,0,0,0,24,21,37,0,8
"ASV_1837",0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,8,0,59,6,0,0,0,6,0,8,0,5,7,0,3,0,30,8,8,10,0
"ASV_1838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0,0,19,44,15,27,27,14
"ASV_1839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,17,20,29,20,23,36,14
"ASV_1840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,40,0,11,9,5,48,24,0,9
"ASV_1841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,25,12,19,20,38,12,25,22,0
"ASV_1842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,22,0,16,25,71,15,16,11,0
"ASV_1849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,30,0,17,22,33,17,0,16,14
"ASV_1851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0,18,40,22,21,22,22
"ASV_1855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,11,0,0,0,45,39,28,24,0
"ASV_1857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,9,17,63,39,7,13
"ASV_1858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,4,7,54,28,25,26,11
"ASV_1864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,5,12,15,15,31,23,19,9,21,0
"ASV_1880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,13,46,31,25,16,10
"ASV_1885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,0,33,46,50,6,0,0,6,0
"ASV_1886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,23,33,0,24,25,27,19,0,0
"ASV_1892",0,0,0,0,0,0,0,3,0,18,12,8,0,0,0,5,3,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,24,19,0,15,19,15,38,0,0,0,0
"ASV_1901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,13,18,6,25,0,0,0,22,35,25,16,10
"ASV_1911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,43,0,14,17,0,7,40,31,0
"ASV_1932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,55,8,13,0,0,28,0,34,25
"ASV_1942",8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,15,0,0,14,20,38,0,0,0,0,0
"ASV_1949",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,16,5,0,0,25,25,37,0,0,0,0,0
"ASV_1950",0,0,0,0,0,0,2,6,4,25,15,8,0,0,6,8,0,66,0,0,0,0,0,0,8,0,0,0,3,15,6,0,0,0,0,0
"ASV_1955",0,0,0,0,0,0,0,0,0,18,26,15,0,0,0,0,0,20,24,0,0,0,0,0,33,0,16,0,0,9,0,0,0,0,0,0
"ASV_1957",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,18,72,0,0,0,0,0,0,14,7,0,0,0,11,15,0,0,0,0,0
"ASV_1964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,49,0,3,8,8,9,43,7,24
"ASV_1971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,50,29,28,22,14
"ASV_1977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,13,20,19,26,19,19,14,13,8
"ASV_1982",0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,27,0,0,0,0,4,0,15,6,0,0,16,14,20,0,0,0,0,0
"ASV_1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24,14,18,41,23,0,0,31,0
"ASV_1990",0,0,0,0,0,0,0,0,0,15,0,11,0,0,0,21,10,45,6,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,13,0,10,30,30,23,20,12
"ASV_1995",3,11,18,7,7,2,4,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,27,13,31,31,0,23,0,0,0
"ASV_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,21,20,9,0,20,31,36,0,0,0,0,0
"ASV_2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,10,0,10,13,25,23,0,16,23,0,12
"ASV_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,20,9,0,13,0,0,16,14,0,14,0
"ASV_2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,15,19,21,30,0,25,15,0,0
"ASV_2036",35,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2044",0,14,0,0,10,16,16,8,25,0,0,9,11,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,21,0,0,0,11,29,37,39,10
"ASV_2053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,29,0,0,0,14,38,27,25,11
"ASV_2062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,19,0,0,11,0,54,36,0,6
"ASV_2068",0,0,0,0,0,0,0,0,0,11,18,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,8,0,37,19,0,31,0
"ASV_2084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31,0,11,13,19,11,0,14,0,0,0
"ASV_2085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,0,0,0,51,16,15,29,5
"ASV_2089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,27,42,15,0,9,12,20,11,0,0,0,0
"ASV_2114",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,23,0,3,46,0,47,0,0,0,7,0
"ASV_2118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,46,28,19,14,21
"ASV_2121",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,17,8,8,10,13,18,17,24,11
"ASV_2124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,7,6,17,33,21,6,12,6,0,0
"ASV_2126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,18,7,26,23,20,10,11
"ASV_2131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16,0,16,0,8,16,24,0,8,16,0
"ASV_2137",0,0,0,0,0,0,8,25,0,12,6,0,0,16,12,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,21,0,0,15,26,30,19,18,0
"ASV_2140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,26,38,0,10,18,0
"ASV_2143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,19,0,12,17,46,16,0,22,5
"ASV_2144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,24,17,31,28,13,12
"ASV_2147",7,3,1,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,23,26,11,0,21,25,26,0,0,0,0,0
"ASV_2161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,0,10,0,19,25,19,15,11,7
"ASV_2163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,16,0,0,4,76,17,0,11,8
"ASV_2168",0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,27,12,9,0,0,0,0,17,7,0,0,0,5,0,0,0,0,0,0
"ASV_2175",14,27,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,9,0,0,0,0,0
"ASV_2187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,10,50,8,11,19,13
"ASV_2190",0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,5,13,0,0,0,18,0,0,10,0,8,0,21,0,0,0,0,14,0
"ASV_2194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,6,30,0,0,4,0,42,15,0,6
"ASV_2197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,20,9,8,27,20,24,0,0,0,0,0
"ASV_2205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,32,14,5,12,6,15,27,0,2,8,0,0
"ASV_2206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,9,0,0,0,3,0,0,12,0,12,8,0
"ASV_2224",0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,3,0,27,0,0,0,0,0,0,20,9,0,0,11,21,34,0,0,0,0,0
"ASV_2228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,6,12,19,22,6,6,11,0,0
"ASV_2229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,0,15,8,11,21,0,19,13,0,5
"ASV_2238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,16,15,24,26,13,13,4,0,0
"ASV_2239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,12,31,11,21,0,14,0,0,13
"ASV_2244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,33,20,0,0,7,16,25,29,0,0,0,0
"ASV_2246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0,0,16,22,18,8,16,8,0,0
"ASV_2248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,13,22,0,7,0,0,31,24,23
"ASV_2249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,7,12,11,40,9,6,26,0
"ASV_2253",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,26,0,0,0,0,0,0,18,11,0,0,0,33,38,0,0,0,0,0
"ASV_2258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,32,9,9,14,21,14,10,7,10
"ASV_2264",7,0,0,0,0,0,0,17,17,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,9,0,0,0,4,0,10,0,0,0,0,0
"ASV_2265",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,0,15,16,15,30,0,0,14,0
"ASV_2276",0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,20,0,0,0,0,0,0,22,13,2,0,28,16,26,0,0,0,0,0
"ASV_2294",0,0,5,0,0,0,0,0,0,17,16,8,0,0,0,0,0,16,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,8,18,20,19,30,10
"ASV_2316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,7,46,21,14,25,0
"ASV_2323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,28,0,0,0,0,0,0,15,12,0,0,0,32,31,0,0,0,0,0
"ASV_2339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,10,15,27,17,20,16
"ASV_2345",0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,8,9,0,0,0,0,0,0,22,10,0,0,20,15,27,0,0,0,0,0
"ASV_2346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,12,7,0,0,11,18,25,15,0,0,14,0
"ASV_2377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,6,21,0,0,0,0,39,17,0,12
"ASV_2380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,10,63,0,4,13,6
"ASV_2388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,27,9,0,0,13,14,13,0,5,11,0,0
"ASV_2389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,6,0,5,10,11,29,6,0,18,16,0
"ASV_2421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,11,0,14,18,15,0,0,9,0,0
"ASV_2422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,6,0,14,27,18,5,0,0,0,0
"ASV_2435",0,0,0,0,0,0,0,0,0,17,14,20,0,0,0,0,0,25,0,0,0,0,0,0,13,0,0,0,3,7,17,0,0,0,0,0
"ASV_2439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,12,21,21,0,0,17,23,0
"ASV_2440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,25,14,22,21,0,0,10,20,0
"ASV_2446",0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,9,0,0,6,10,29,12,29,11,0,0
"ASV_2455",0,8,13,0,0,0,0,0,0,9,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,6
"ASV_2466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,8,12,20,16,15,0,6,17,0
"ASV_2467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,25,0,0,7,0,37,20,13,5
"ASV_2474",0,0,0,0,0,0,0,0,0,8,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0
"ASV_2478",0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,27,0,0,0,0,0,0,25,10,6,8,36,0,0,0,0,0,0,0
"ASV_2480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,9,4,0,5,19,24,25,0,0,0,0,0
"ASV_2482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,14,0,0,0,16,9,18,19,9,0,9,4
"ASV_2497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,38,17,16,17,7
"ASV_2506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,13,8,22,12,0,18,0,0,0
"ASV_2507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,13,27,23,11,0,0,5,0
"ASV_2516",0,0,0,0,0,0,0,0,4,17,15,12,4,0,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,13,12,17,16,18,0,0,0,0
"ASV_2544",0,0,0,0,0,0,11,11,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,13,21,0,0,0,0,0
"ASV_2550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,28,0,0,4,0,23,22,18,13
"ASV_2555",0,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,7,12,20,0,19,0,0
"ASV_2557",0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,12,0,68,0,0,0,0
"ASV_2563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,0,22,4,7,23,14,13,5,0
"ASV_2587",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,5,10,46,0,0,16,6
"ASV_2591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,17,0,20,19,19,0,0,0,4,0
"ASV_2593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,3,22,17,22,18,4
"ASV_2595",0,0,0,0,0,0,0,0,0,9,0,21,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,9,15,25,0,0,0,0,0
"ASV_2597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,23,16,24,14,17
"ASV_2605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,13,11,20,18,18,12,0
"ASV_2616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,0,8,20,0,0,0,10,11,0,6
"ASV_2625",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,6,8,18,1,2,2,7,11,11,16,0
"ASV_2653",0,0,0,0,0,0,9,0,3,8,6,0,4,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2670",0,0,0,0,0,0,0,22,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,16,13,14,0,0,0,0,0
"ASV_2676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,3,0,0,41,22,8,0,4
"ASV_2682",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,11,6,0,0,17,17,27,0,0,0,0,0
"ASV_2686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,23,20,14,11,9
"ASV_2695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,29,18,12,6,0,7
"ASV_2702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,8,0,19,8,0,7,32,0,0,8,0
