"","K1","K2","K3","K4","K5","K6","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","SK1","SK2","SK3","SK4","SK5","SK6","XF1_1","XF1_2","XF1_3","XF1","XF2_1","XF2_2","XF2_3","XF2","XF3","XF4","XF5","XF6"
"ASV_1262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,44,0,31,25,35,60,30,49,34
"ASV_1264",0,0,0,15,0,0,0,0,9,20,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,43,52,64,0,0,0,0,0
"ASV_1265",14,10,10,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,12,0,19,31,22,23,27,20,0
"ASV_1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,35,15,21,17,155,25,10,19,0
"ASV_1269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,15,24,0,179,0,12,50,0
"ASV_1273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,38,20,0,56,50,50,26,0,0,0,0
"ASV_1276",0,0,0,0,0,0,0,0,0,10,18,12,0,0,0,0,0,89,9,0,0,0,0,0,0,0,0,0,14,17,0,56,0,0,0,0
"ASV_1282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,105,53,20,26,0,21,30,0,22,20,0,0
"ASV_1284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,4,4,155,25,19,27,14
"ASV_1298",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,24,13,28,11,12,13,39,69,10,0,0
"ASV_1301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,17,27,77,28,33,75,16
"ASV_1302",0,7,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,15,0,0,0,0,0,0,14,22,0,0,16,25,41,0,0,0,0,0
"ASV_1303",0,0,0,0,0,0,0,24,0,41,43,28,0,9,0,62,37,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,46,0,0,0,89,37,37,73,24
"ASV_1309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0,34,55,110,51,0,0,20,0
"ASV_1315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,0,0,0,0,0,58,40,13,0,18,33,33,0,27,25,0,0
"ASV_1320",0,7,7,0,11,0,0,0,0,0,4,0,13,0,43,12,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1321",19,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,33,56,74,0,0,0,0,0
"ASV_1322",0,0,14,15,19,0,3,21,0,0,9,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,41,23,21,91,25,24,64,0
"ASV_1331",0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,14,16,0,14,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,51,71,72,37,18
"ASV_1336",0,0,0,0,0,0,0,0,0,54,16,27,0,0,0,13,0,173,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,0
"ASV_1337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,50,23,23,41,48,34,28,22,15
"ASV_1344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,82,61,24,19,14,35,27,0,17,0,0,0
"ASV_1346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0,35,50,16,36,40,57,27,0,0
"ASV_1347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,13,9,8,0,0,0,0,0,18,17,28,0,22
"ASV_1351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,50,14,14,18,22,33,23,10,0,0,0
"ASV_1352",0,0,0,0,0,0,0,23,0,33,0,11,0,10,0,113,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1361",0,0,0,0,0,0,21,21,46,17,13,9,0,0,0,0,0,0,0,0,0,0,0,0,39,15,20,0,17,12,29,0,0,0,0,0
"ASV_1362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,80,27,0,0,27,35,0,81,0,0,27,0
"ASV_1364",0,15,17,0,37,18,0,0,0,0,0,0,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"ASV_1365",0,10,0,0,0,25,0,0,0,0,0,0,40,0,0,0,0,53,0,0,0,0,0,79,4,0,0,14,4,0,6,33,0,7,8,0
"ASV_1366",0,0,0,0,0,0,0,0,0,0,10,0,0,9,14,7,0,27,0,0,0,0,0,0,9,7,0,7,0,0,7,0,7,15,11,0
"ASV_1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,65,45,12,28,10,10,20,36,0,24,17,12
"ASV_1380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,6,26,11,23,24,55,33,28,59,0
"ASV_1381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,11,72,39,109,14,0,16,7,0
"ASV_1382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,38,5,18,14,65,41,33,39,25
"ASV_1387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,17,26,50,44,33,53,13
"ASV_1389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,5,0,31,28,10,10,10,20,9,36,25,19,31,20
"ASV_1392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,34,0,0,0,47,18,36,40,24
"ASV_1395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,15,0,40,62,54,0,0,0,20,15
"ASV_1396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,12,22,91,35,28,41,0
"ASV_1403",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,28,24,136,12,19,20,0
"ASV_1410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,18,10,20,41,0,62,34,42,20
"ASV_1411",3,10,8,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,0,13,6,0,0,0,0,0,0,0,0,5,8,0,4
"ASV_1418",8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,115,31,24,26,10
"ASV_1419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11,13,0,18,33,33,110,0,0,0,0
"ASV_1425",11,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1428",0,0,0,0,0,0,0,0,0,17,21,8,0,0,0,0,0,96,29,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0
