Symbol,cerk1_GxM_logFC,cerk1_GxM_logCPM,cerk1_GxM_F,cerk1_GxM_PValue,cerk1_M_logFC,cerk1_M_logCPM,cerk1_M_F,cerk1_M_PValue,cerk1_G_logFC,cerk1_G_logCPM,cerk1_G_F,cerk1_G_PValue,Kit_logFC,Kit_logCPM,Kit_F,Kit_PValue,cerk1_microbiota_rep1_cpm_zscore,cerk1_microbiota_rep2_cpm_zscore,cerk1_microbiota_rep3_cpm_zscore,cerk1_germfree_rep1_cpm_zscore,cerk1_germfree_rep2_cpm_zscore,cerk1_germfree_rep3_cpm_zscore,kit_microbiota_rep1_cpm_zscore,kit_microbiota_rep2_cpm_zscore,kit_microbiota_rep3_cpm_zscore,kit_germfree_rep1_cpm_zscore,kit_germfree_rep2_cpm_zscore,kit_germfree_rep3_cpm_zscore
LOC107277668,0.824392544045501,-1.32118456665697,0.379992380100768,0.546115433596843,5.2747250307933,-1.32118456665697,47.0645803534241,3.45629750965676e-06,4.4503324867478,-1.32118456665697,36.8878858205598,1.48388054359112e-05,-0.673566656241998,-1.32118456665697,0.294627007440337,0.59461073755389,0.658886098836985,0.804952068785491,0.411778098761854,0.533903871841572,-0.0803707723374038,0.92903697759875,-1.55804544589759,-1.06231548161906,-1.55804544589759,-1.55804544589759,-0.90284982472958,-1.26334846140878
LOC9266853,0.830254359727468,0.646901869120902,3.54238439818226,0.077786206376036,1.63293289406815,0.646901869120902,25.4719658059178,0.000112385259853044,0.80267853434068,0.646901869120902,6.9428908244875,0.0178063952732294,-1.27745901590935,0.646901869120902,15.408161630746,0.00116876524974524,0.128383648403721,1.35909816206814,0.255786623302307,1.00904861633031,1.61009246729734,1.09268937147057,-0.878023810084736,-1.67044518937282,-1.8905324999092,0.504497985958005,0.508756679623029,-0.523987866690933
LOC107281259,0.844134040532284,0.22245579896714,4.38911753143958,0.0521177296180505,2.17451883161577,0.22245579896714,48.9947953112014,2.69423258355414e-06,1.33038479108349,0.22245579896714,25.9637241982558,0.000101837324055909,-2.29221761446078,0.22245579896714,54.5703789792389,1.36584149215594e-06,-0.055362593631435,0.103614112574905,-0.218843518134752,1.13455563792491,1.05803154986739,1.23369230829916,-2.02049185579141,-1.86987648369206,-1.35704261032756,0.310017689772566,-0.563170740074905,0.217962967937367
LOC112937863,0.859677649312842,-0.318731893500861,4.13427653267689,0.0586275123097814,1.17845778018049,-0.318731893500861,15.6263315378941,0.00110196574945164,0.318780130867644,-0.318731893500861,1.12495905184471,0.304307021142421,-0.119804561732023,-0.318731893500861,0.152363052624374,0.701337904852785,1.77095300636746,0.448676455715894,1.9946030091502,-0.661634161747549,-0.241348740403214,0.63844443796262,-0.42490654363062,-0.987544596183572,-1.35189443604837,-0.192450985389263,-0.332716435904631,-1.56462773224681
LOC4345264,0.871479209645227,0.800521615534778,12.3104446991279,0.00283881423640214,1.46392891790031,0.800521615534778,65.0188502005425,4.37789991364276e-07,0.592449708255079,0.800521615534778,11.9244864751274,0.00319454496766283,-1.24820762682344,0.800521615534778,47.1085103678817,3.43646430875629e-06,0.726861984276207,0.787954719231804,0.746563236042716,1.08097165512654,1.54583917837226,1.2355421088853,-1.21837117655534,-1.1562427589896,-1.6506460176762,0.587106492481649,0.513065684608569,0.225226375905076
LOC4324081,0.872715223462882,4.63537934688575,5.42515892899637,0.0344984542799248,1.23293327573627,4.63537934688575,21.3000193648951,0.000351445808199003,0.360218052273389,4.63537934688575,1.83931852235087,0.195435034628063,0.154503695999946,4.63537934688575,0.337142086196232,0.570251491465116,0.451077301741493,1.52395940704434,2.35592308101533,-0.0475178423916499,0.188636309816324,0.034826630505583,-1.0310079977107,-0.266248142222839,0.351655026046849,-0.462963413144822,-0.610258586658275,-0.349113297204138
LOC4351701,0.873215518645715,1.84064925228032,3.85671006205239,0.0670300289104563,1.44665029434951,1.84064925228032,16.1301338431294,0.000983764769819321,0.573434775703799,1.84064925228032,4.83015738471221,0.0429128985318275,-4.4564204865638,1.84064925228032,174.474281205346,4.58340115018034e-10,-0.27511666260136,-0.878432488033578,-0.642783366739883,1.19418732690559,1.15069525353122,1.0047479945503,-1.21986415991869,-1.17146496498341,-1.13310563698956,0.881205913479878,0.922492815793808,0.741263073978168
LOC4328601,0.876915443785522,-0.0169270708693355,5.99668055986948,0.0259880800935011,1.0399308547783,-0.0169270708693355,16.0962380758464,0.000972209712706182,0.163015410992776,-0.0169270708693355,0.43227505387422,0.52004593717848,-1.00796443391683,-0.0169270708693355,15.040706060667,0.00129185743894298,-0.241911239251283,1.13788297581541,0.999234814095269,0.517512010124412,0.224808317502158,1.83245371567697,-2.06544751561125,-0.92973126036966,-1.61593925462331,0.919671261657962,0.929235153274972,-0.0940050461621691
LOC4346116,0.877122845541048,1.41975414920219,1.94302240134674,0.183378569868937,1.78789746989447,1.41975414920219,16.6312845438635,0.000963890980396911,0.910774624353423,1.41975414920219,3.96832762052992,0.0646359779273154,0.669651767610703,1.41975414920219,2.10423885018464,0.167206925876918,0.025888359721521,1.18234002666307,1.70052814270064,-0.0635232468772952,-0.0622698534508748,-0.122516717480266,-0.987383726230235,-0.34717816262202,0.222731224338458,-0.434035924976025,-1.36014476403562,-0.784568550240804
LOC107277196,0.889912594832781,-2.1217951149705,3.23032729032119,0.0908246968578796,1.33070389470938,-2.1217951149705,13.4315414228281,0.00203476458704477,0.440791299876603,-2.1217951149705,1.71761676900554,0.208155160778705,-0.873093806591855,-2.1217951149705,5.45909269409671,0.0325304799079694,1.27358145003805,0.227988971903783,0.796589640003191,1.03827946797451,0.737579001536766,0.571384232511918,-1.46794602232913,-1.44866244492329,-0.464325161732364,-0.326196712354295,0.0521145394544305,0.516097041087245
LOC4335189,0.89084700327982,4.04926937331981,13.8773013318135,0.00182365966790979,1.06627243065287,4.04926937331981,38.5583545789143,1.21404269957189e-05,0.175425427373046,4.04926937331981,1.09724562152872,0.310338514785876,-1.23909419622902,4.04926937331981,51.8030149496421,2.04572985393393e-06,0.338316127718914,0.615386138475965,0.0397725215417453,0.458840159829834,1.35333054930805,1.20093022768018,-1.61671922673302,-1.64042015468268,-2.05095701345853,0.963848499526957,0.0555451286978879,0.938786340582165
